2026-04-18 17:33:10,646 | ERROR    | pymodbus.logging | [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
2026-04-18 17:33:10,647 | INFO     | datalogger.database | DatabaseWorker đã khởi động.
2026-04-18 17:33:10,648 | INFO     | datalogger.monitor | Polling started: 1 sensors, interval=3s
2026-04-18 17:33:10,650 | WARNING  | datalogger.monitor | Modbus error #1: Không thể kết nối cổng /dev/ttyUSB0
2026-04-18 17:33:10,651 | WARNING  | datalogger.monitor | Modbus worker exited unexpectedly — stopping all workers.
2026-04-18 17:33:15,647 | INFO     | datalogger.database | DatabaseWorker đã dừng.
2026-04-18 17:33:15,656 | INFO     | datalogger.monitor | Polling stopped.
2026-04-18 17:33:18,510 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:33:20,213 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:33:28,714 | INFO     | ui.sensor_model | SensorListModel refreshed: 1 sensors
2026-04-18 17:33:34,455 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 17:36:28,522 | INFO     | datalogger | ============================================================
2026-04-18 17:36:28,522 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 17:36:28,522 | INFO     | datalogger | ============================================================
2026-04-18 17:36:28,525 | INFO     | datalogger | Database initialized.
2026-04-18 17:36:28,598 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 17:36:28,605 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 17:36:28,765 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 17:38:46,389 | INFO     | datalogger | ============================================================
2026-04-18 17:38:46,389 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 17:38:46,389 | INFO     | datalogger | ============================================================
2026-04-18 17:38:46,393 | INFO     | datalogger | Database initialized.
2026-04-18 17:38:46,455 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 17:38:46,460 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 17:38:46,594 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 17:39:21,800 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:39:31,867 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:39:32,646 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:39:33,321 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:39:58,726 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 17:40:13,335 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:42:53,849 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:45:01,450 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:45:08,605 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:45:12,422 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:45:19,755 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:47:04,969 | INFO     | datalogger | ============================================================
2026-04-18 17:47:04,970 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 17:47:04,970 | INFO     | datalogger | ============================================================
2026-04-18 17:47:04,973 | INFO     | datalogger | Database initialized.
2026-04-18 17:47:05,046 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 17:47:05,053 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 17:47:05,182 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 17:47:07,682 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 17:49:32,531 | INFO     | datalogger | ============================================================
2026-04-18 17:49:32,532 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 17:49:32,532 | INFO     | datalogger | ============================================================
2026-04-18 17:49:32,535 | INFO     | datalogger | Database initialized.
2026-04-18 17:49:32,613 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 17:49:32,621 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 17:49:32,828 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 17:49:45,285 | INFO     | datalogger | ============================================================
2026-04-18 17:49:45,286 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 17:49:45,286 | INFO     | datalogger | ============================================================
2026-04-18 17:49:45,289 | INFO     | datalogger | Database initialized.
2026-04-18 17:49:45,371 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 17:49:45,379 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 17:49:45,529 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 17:49:50,603 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 17:51:08,989 | INFO     | datalogger | ============================================================
2026-04-18 17:51:08,989 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 17:51:08,989 | INFO     | datalogger | ============================================================
2026-04-18 17:51:08,993 | INFO     | datalogger | Database initialized.
2026-04-18 17:51:09,057 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 17:51:09,062 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 17:51:09,181 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 17:51:31,842 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 17:52:22,171 | INFO     | datalogger | ============================================================
2026-04-18 17:52:22,171 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 17:52:22,172 | INFO     | datalogger | ============================================================
2026-04-18 17:52:22,175 | INFO     | datalogger | Database initialized.
2026-04-18 17:52:22,269 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 17:52:22,278 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 17:52:22,404 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 17:52:27,812 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 17:52:51,883 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:55:46,695 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:55:47,751 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:56:42,916 | INFO     | datalogger | ============================================================
2026-04-18 17:56:42,916 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 17:56:42,916 | INFO     | datalogger | ============================================================
2026-04-18 17:56:42,920 | INFO     | datalogger | Database initialized.
2026-04-18 17:56:42,985 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 17:56:42,991 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 17:56:43,132 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 17:57:49,487 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 17:57:52,984 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:58:09,314 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:58:20,206 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:58:22,388 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:58:56,138 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:58:57,522 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:58:58,212 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:10:49,869 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:10:53,332 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:10:56,845 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:11:22,319 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:11:23,939 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:11:25,786 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:11:27,773 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:13:17,296 | INFO     | datalogger | ============================================================
2026-04-18 18:13:17,296 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 18:13:17,296 | INFO     | datalogger | ============================================================
2026-04-18 18:13:17,297 | INFO     | datalogger | Database initialized.
2026-04-18 18:13:17,334 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 18:13:17,337 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 18:13:17,428 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 18:13:36,820 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:13:38,028 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:18:02,928 | INFO     | datalogger | ============================================================
2026-04-18 18:18:02,928 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 18:18:02,928 | INFO     | datalogger | ============================================================
2026-04-18 18:18:02,930 | INFO     | datalogger | Database initialized.
2026-04-18 18:18:02,964 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 18:18:02,967 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 18:18:03,028 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 18:18:11,247 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:18:12,277 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:19:57,300 | INFO     | datalogger | ============================================================
2026-04-18 18:19:57,300 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 18:19:57,300 | INFO     | datalogger | ============================================================
2026-04-18 18:19:57,302 | INFO     | datalogger | Database initialized.
2026-04-18 18:19:57,339 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 18:19:57,342 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 18:19:57,410 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 18:20:00,023 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:20:21,979 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 18:20:22,716 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:20:37,739 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:20:46,507 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:20:50,963 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:21:58,731 | INFO     | datalogger | ============================================================
2026-04-18 18:21:58,732 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 18:21:58,732 | INFO     | datalogger | ============================================================
2026-04-18 18:21:58,733 | INFO     | datalogger | Database initialized.
2026-04-18 18:21:58,773 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 18:21:58,776 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 18:21:58,846 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 18:22:06,508 | INFO     | datalogger.history | Search done: 0 records
